Subject_Age_Group,Was_Weapon_Reported,Officer_Gender,Officer_Race,Subject_Perceived_Race,Subject_Perceived_Gender,Frisk_Flag,Officer_Age,Legal_Action_Taken,Arrested,Physical_Arrest,count
-,No Weapon Reported,M,Black or African American,Asian,M,0,31,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,0,50,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,52,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,38,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,42,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Unknown,F,0,30,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,White,M,0,30,0,0,0,1
-,No Weapon Reported,M,White,White,F,0,29,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Unknown,N,0,30,0,0,0,1
-,No Weapon Reported,M,Asian,Unknown,M,0,42,0,0,0,1
-,No Weapon Reported,F,White,Unknown,N,0,38,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,29,0,0,0,1
-,No Weapon Reported,M,American Indian/Alaska Native,Unknown,M,0,51,0,0,0,1
-,No Weapon Reported,M,White,White,M,0,56,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,1,56,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,42,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,36,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,36,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,36,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,34,0,0,0,1
-,No Weapon Reported,M,White,Unknown,M,0,46,0,0,0,1
-,No Weapon Reported,M,White,American Indian or Alaska Native,M,0,46,0,0,0,1
-,No Weapon Reported,M,White,American Indian or Alaska Native,M,0,46,0,0,0,1
-,No Weapon Reported,M,Black or African American,Unknown,N,0,31,0,0,0,1
-,No Weapon Reported,M,Black or African American,Unknown,N,0,31,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,32,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,White,M,0,52,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,1,52,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Unknown,N,0,49,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,29,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,29,0,0,0,1
-,No Weapon Reported,M,White,Asian,F,0,47,0,0,0,1
-,No Weapon Reported,M,White,Asian,M,0,47,0,0,0,1
-,No Weapon Reported,M,White,Unknown,M,0,42,0,0,0,1
-,No Weapon Reported,M,White,Unknown,F,0,42,0,0,0,1
-,No Weapon Reported,M,White,White,M,0,42,0,0,0,1
-,No Weapon Reported,M,White,White,M,0,42,0,0,0,1
-,No Weapon Reported,M,Two or More Races,Unknown,N,0,28,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,29,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,29,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Unknown,N,0,49,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Unknown,N,0,49,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,29,0,0,0,1
-,Weapon Reported,M,White,Unknown,N,1,63,0,0,0,1
-,Weapon Reported,M,White,Unknown,N,1,63,0,0,0,1
-,Weapon Reported,M,White,Unknown,N,1,63,0,0,0,1
-,Weapon Reported,M,White,Unknown,N,1,63,0,0,0,1
-,Weapon Reported,M,White,Unknown,N,1,63,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,F,0,49,0,0,0,1
-,No Weapon Reported,M,Asian,White,F,0,46,0,0,0,1
-,No Weapon Reported,M,Black or African American,Unknown,N,0,31,0,0,0,1
-,No Weapon Reported,M,Black or African American,Black or African American,M,0,31,0,0,0,1
-,No Weapon Reported,M,Black or African American,White,F,0,31,0,0,0,1
-,No Weapon Reported,M,Black or African American,Unknown,M,0,31,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Unknown,F,0,49,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,American Indian or Alaska Native,M,0,49,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Asian,F,0,49,0,0,0,1
-,No Weapon Reported,M,Black or African American,Black or African American,M,0,31,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,49,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,49,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,49,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,49,0,0,0,1
-,No Weapon Reported,M,Black or African American,Unknown,N,0,45,0,0,0,1
-,No Weapon Reported,M,White,Unknown,F,0,39,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,46,0,0,0,1
-,No Weapon Reported,M,Black or African American,American Indian or Alaska Native,M,0,31,0,0,0,1
-,Weapon Reported,M,White,Unknown,N,1,46,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,30,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,30,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,38,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,1,24,0,0,0,1
-,No Weapon Reported,M,White,White,F,0,24,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,F,0,24,0,0,0,1
-,No Weapon Reported,M,White,White,M,0,30,0,0,0,1
-,No Weapon Reported,F,White,Unknown,N,0,36,0,0,0,1
-,No Weapon Reported,M,Not Specified,White,F,0,29,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,27,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,27,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,27,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,27,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,27,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,28,0,0,0,1
-,No Weapon Reported,M,White,White,M,0,44,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,36,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,36,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,28,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,28,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,51,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,White,M,0,49,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,49,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Asian,F,0,49,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Asian,M,0,49,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,49,0,0,0,1
-,No Weapon Reported,M,White,White,M,0,30,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,37,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,White,M,1,49,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,30,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,1,38,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,27,0,0,0,1
-,No Weapon Reported,F,White,Unknown,M,0,54,0,0,0,1
-,No Weapon Reported,M,Black or African American,Unknown,M,0,31,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,49,1,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,52,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,52,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,52,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Hispanic,F,0,52,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,White,M,0,52,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,1,52,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,28,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,28,0,0,0,1
-,No Weapon Reported,F,White,White,M,1,39,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Unknown,N,0,39,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,White,F,0,39,0,0,0,1
-,No Weapon Reported,F,White,White,F,0,45,1,0,0,1
-,No Weapon Reported,F,White,White,M,0,45,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,1,24,1,1,0,1
-,No Weapon Reported,F,White,Unknown,N,0,46,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,30,1,1,0,1
-,No Weapon Reported,M,White,Unknown,M,0,56,1,1,0,1
-,No Weapon Reported,M,White,White,M,0,32,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,52,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,1,45,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,1,45,1,0,0,1
-,No Weapon Reported,M,Black or African American,Unknown,N,0,45,1,1,0,1
-,No Weapon Reported,M,Black or African American,Unknown,N,0,45,1,1,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,25,1,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Unknown,N,0,39,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,0,40,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,40,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,40,1,0,0,1
-,No Weapon Reported,F,White,Unknown,N,0,45,1,0,0,1
-,No Weapon Reported,F,White,White,M,0,45,1,0,0,1
-,No Weapon Reported,F,White,White,M,0,45,1,1,0,1
-,No Weapon Reported,F,White,White,F,0,45,1,1,0,1
